,name,link,address,postcode,phone_number,founded_year,summary_description,nums_employee,website,technology,industry_focus,similar_companies,company_id
1296,MediRecords,https://au.linkedin.com/company/medirecords,"Level 3, 601 Pacific Highway, St Leonards, NSW, Australia",2065,,2013.0,"We are Australia's leading Clinical and Practice Management Software.MediRecords allows healthcare professionals, governments and enterprise to focus on delivering better patient outcomes while empowering their patients with greater access.We offer three SaaS products each tailored to meet the different needs of GPs Specialists and Multidisciplinary clinics. MediRecords for GPs - Australia’s leading cloud-based Practice Management System for single or multi-site practices​.MediRecords for Specialists - A multi-site, cloud-based clinical & practice management solution tailored for specialists.MediRecords for Allied Health - Flexible and efficient clinical quality practice management designed for multiple disciplines.In addition we specialise in enterprise scale and government solutions to enable Australian organisations to deliver the best healthcare possible.Founded in 2013, MediRecords was created to improve patient care while reducing costs associated with outdated technology. Through cloud technology, healthcare is accessible in real-time to all Australians with our suite of products. We work closely with our community members, patients, partners and fellow innovators to continue improving the way healthcare is delivered for all.As industry pioneers, our forward thinking approach to healthcare technology is revolutionising patient care making MediRecords the only healthcare solution for every Australian.",51-200,http://medirecords.com,"['Information Technology', 'Practice Management Software', 'Clinic Software', 'Patient Management', 'clinical practice management software', 'Australian Practice Management Software']",Information Technology & Services,"[{'name': 'MockRes', 'link': 'https://au.linkedin.com/company/mockres', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, New South Wales'}, {'name': 'Starfish eHome', 'link': 'https://au.linkedin.com/company/starfish-ehome', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, New South Wales'}, {'name': 'Kapiche', 'link': 'https://au.linkedin.com/company/kapiche', 'industry': 'Software Development', 'location': 'Fortitude Vallley, QLD'}, {'name': 'Genie Solutions', 'link': 'https://au.linkedin.com/company/genie-solutions-pty-ltd', 'industry': 'Software Development', 'location': 'Fortitude Valley, Queensland'}, {'name': 'MedicalDirector', 'link': 'https://au.linkedin.com/company/medicaldirector', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Clinic to Cloud', 'link': 'https://au.linkedin.com/company/clinic-to-cloud', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Telstra Health', 'link': 'https://au.linkedin.com/company/telstra-health_health-services', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'annalise.ai', 'link': 'https://au.linkedin.com/company/annalise-ai', 'industry': 'Hospitals and Health Care', 'location': 'SYDNEY, NSW'}, {'name': 'Visionflex', 'link': 'https://au.linkedin.com/company/visionflex', 'industry': 'Medical Equipment Manufacturing', 'location': 'Warriewood, NSW'}, {'name': 'Ksatria Medical Systems', 'link': 'https://au.linkedin.com/company/ksatria-medical-systems', 'industry': 'IT Services and IT Consulting', 'location': 'Maylands, WA'}]",
1299,Digital Health CRC,https://au.linkedin.com/company/digital-health-crc,"Tank Stream Labs, 11 York Street Level 8, Sydney, NSW, Australia",2000,,2018.0,"The Digital Health CRC (DHCRC) brings together Australia's health and aged care sectors, industry and academia. 

Working together, we invest in research and development to support the growth of a strong digital health industry, improve patient outcomes and experience and deliver sustainable digital health solutions.
 
The DHCRC is a $110M organisation funded through the Commonwealth Department of Industry, Science, Energy and Resource’s Cooperative Research Program, and supported by our Participant organisations including universities, healthcare providers and industry.",11-50,http://www.digitalhealthcrc.com,"['Health', 'Digital Health', 'Research', 'eHealth', 'Population health', 'Health economics', 'Rural and Remote healthcare', 'Virtual Care', 'PhD students', 'Health data analytics', 'Translational research', 'Aged care data', 'Telehealth']",Research Services,"[{'name': 'Australasian Institute of Digital Health (AIDH)', 'link': 'https://au.linkedin.com/company/aidh', 'industry': 'Hospitals and Health Care', 'location': 'South Melbourne, Victoria'}, {'name': 'Australian Digital Health Agency', 'link': 'https://au.linkedin.com/company/australian-digital-health-agency', 'industry': 'Hospitals and Health Care', 'location': 'Sydney, NSW'}, {'name': 'MedTech Actuator', 'link': 'https://au.linkedin.com/company/medtechactuator', 'industry': 'Medical Equipment Manufacturing', 'location': None}, {'name': 'ANDHealth', 'link': 'https://au.linkedin.com/company/andhealth', 'industry': 'Wellness and Fitness Services', 'location': 'Melbourne, VIC'}, {'name': 'Digital Health Festival', 'link': 'https://au.linkedin.com/company/digital-health-festival', 'industry': 'Events Services', 'location': None}, {'name': 'Consumers Health Forum of Australia (CHF)', 'link': 'https://au.linkedin.com/company/consumers-health-forum', 'industry': 'Public Policy Offices', 'location': 'Deakin West, ACT'}, {'name': 'On Deck', 'link': 'https://www.linkedin.com/company/beondeck', 'industry': 'Software Development', 'location': 'San Francisco, California'}, {'name': 'Cicada Innovations', 'link': 'https://au.linkedin.com/company/cicadainnovations', 'industry': 'Research Services', 'location': 'Sydney, NSW'}, {'name': 'Telstra Health', 'link': 'https://au.linkedin.com/company/telstra-health_health-services', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'eHealth NSW', 'link': 'https://au.linkedin.com/company/ehealth-nsw', 'industry': 'Government Administration', 'location': 'Chatswood, New South Wales'}]",
1314,Subundl,https://au.linkedin.com/company/subundl,"11 York St Level 8, Sydney, New South Wales, Australia",2000,,2021.0,"Subundl is a subscription management and billing SaaS platform accelerating eCommerce by making tailored subscription models accessible to all retailers. 

Subundl empowers eCommerce businesses to create and manage a subscription model that is unique to their business model, products & customers.
Giving consumers the personalisation & control of their subscription; the products they want, when they need them, in one subscription.
 
Subundl gives complete control and personalisation to retailers and consumers, driving acquisitions, retention, customer lifetime value & loyalty.",1-10,http://subundl.com,"['eCommerce ', 'SaaS', 'Subscriptions', 'Customer Centric']",IT Services and IT Consulting,"[{'name': 'Our Leg Up', 'link': 'https://au.linkedin.com/company/ourlegup', 'industry': 'Financial Services', 'location': 'Melbourne, VIC'}, {'name': 'Reach Alternative Investments', 'link': 'https://au.linkedin.com/company/reachalts', 'industry': 'Investment Management', 'location': 'Sydney, NSW'}, {'name': 'Vyro', 'link': 'https://au.linkedin.com/company/vyro-ev', 'industry': 'Internet Publishing', 'location': 'Sydney, New South Wales'}, {'name': 'Andisor', 'link': 'https://au.linkedin.com/company/andisor', 'industry': 'Retail Apparel and Fashion', 'location': 'Melbourne, Victoria'}, {'name': 'WIRL', 'link': 'https://au.linkedin.com/company/wirlapp', 'industry': 'Mental Health Care', 'location': 'Melbourne, Victoria'}, {'name': 'Wandora', 'link': 'https://au.linkedin.com/company/wandora', 'industry': 'Internet Publishing', 'location': 'South Melbourne, Victoria'}, {'name': 'CalcTree', 'link': 'https://au.linkedin.com/company/calctree', 'industry': 'Construction', 'location': 'Sydney, New South Wales'}, {'name': 'Sapyen', 'link': 'https://au.linkedin.com/company/sapyenco', 'industry': 'Hospitals and Health Care', 'location': 'Carlton, Victoria'}, {'name': 'Simply Zibra', 'link': 'https://au.linkedin.com/company/zibramoney', 'industry': 'Financial Services', 'location': 'Sydney, New South Wales'}, {'name': 'EZiD', 'link': 'https://au.linkedin.com/company/ezid', 'industry': 'Software Development', 'location': 'Sydney, NSW'}]",
1316,Avert AI,https://au.linkedin.com/company/avertai,", Melbourne, , Australia",,,,"Empowering employees to write compliant communications with next generation language AI. Our writing assistant works wherever you type, across email, documents and chat to detect data privacy compliance risks and provide compliant rephrasing in real-time, providing a safeguard for employees and organisations.",2-10,https://www.avert.ai/,"['AI', 'NLP', 'B2B SaaS', 'worker augmentation', 'compliance', 'data privacy', 'writing assistant', 'antler vc']",Software Development,"[{'name': 'Subundl', 'link': 'https://au.linkedin.com/company/subundl', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, New South Wales'}, {'name': 'Simply Zibra', 'link': 'https://au.linkedin.com/company/simplyzibra', 'industry': 'Financial Services', 'location': 'Sydney, New South Wales'}, {'name': 'WIRL', 'link': 'https://au.linkedin.com/company/wirlapp', 'industry': 'Mental Health Care', 'location': 'Melbourne, Victoria'}, {'name': 'Flow of Work Co', 'link': 'https://au.linkedin.com/company/flow-of-work-co', 'industry': 'Human Resources Services', 'location': 'Sydney, NSW'}, {'name': 'Codis', 'link': 'https://au.linkedin.com/company/codis-io', 'industry': 'Software Development', 'location': 'Melbourne, VIC'}, {'name': 'Antler', 'link': 'https://sg.linkedin.com/company/antlerglobal', 'industry': 'Venture Capital and Private Equity Principals', 'location': None}, {'name': 'Travis', 'link': 'https://au.linkedin.com/company/travistravisco', 'industry': 'Software Development', 'location': None}, {'name': 'Onqlave', 'link': 'https://au.linkedin.com/company/onqlave', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Lockpick Games', 'link': 'https://au.linkedin.com/company/lockpick-games', 'industry': 'E-Learning Providers', 'location': 'Sydney, NSW'}, {'name': 'Plaza', 'link': 'https://au.linkedin.com/company/plazaofficial', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}]",
1318,Lockpick Games,https://au.linkedin.com/company/lockpick-games,", Sydney, NSW, Australia",2031,,2020.0,Lockpick helps students prepare for standardised tests via imersive adventure games. ,2-10,https://www.lockpick.games/,,E-learning,[],
1320,EZiD,https://au.linkedin.com/company/ezid,", Sydney, NSW, Australia",,,2021.0,"We're building auth that will onboard your users faster. We're on a mission to create a frictionless internet and provide data-driven ways to enable the best authentication experience, specifically for your business.",2-10,https://www.ezid.io/?channel=linkedin,,Computer Software,"[{'name': 'Our Leg Up', 'link': 'https://au.linkedin.com/company/ourlegup', 'industry': 'Financial Services', 'location': 'Melbourne, VIC'}, {'name': 'Sapyen', 'link': 'https://au.linkedin.com/company/sapyenco', 'industry': 'Hospitals and Health Care', 'location': 'Carlton, Victoria'}, {'name': 'Subundl', 'link': 'https://au.linkedin.com/company/subundl', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, New South Wales'}, {'name': 'Andisor', 'link': 'https://au.linkedin.com/company/andisor', 'industry': 'Retail Apparel and Fashion', 'location': 'Melbourne, Victoria'}, {'name': 'Reach Alternative Investments', 'link': 'https://au.linkedin.com/company/reachalts', 'industry': 'Investment Management', 'location': 'Sydney, NSW'}, {'name': '48 HOURS', 'link': 'https://au.linkedin.com/company/48-hrs', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Vyro', 'link': 'https://au.linkedin.com/company/vyro-ev', 'industry': 'Internet Publishing', 'location': 'Sydney, New South Wales'}, {'name': 'iN2iTY Lab', 'link': 'https://au.linkedin.com/company/in2ity-lab', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Wandora', 'link': 'https://au.linkedin.com/company/wandora', 'industry': 'Internet Publishing', 'location': 'South Melbourne, Victoria'}, {'name': 'CalcTree', 'link': 'https://au.linkedin.com/company/calctree', 'industry': 'Construction', 'location': 'Sydney, New South Wales'}]",
1321,Travis,https://au.linkedin.com/company/travistravisco,", Melbourne, , Australia",,,,Think Pinterest and Google Maps had a baby.,1-10,http://www.travistravis.co,"['Travel', 'Consumer social', 'Millennials', 'Gen Zs', 'Consumer internet', 'Travelling', 'Travel planning']",Internet Publishing,"[{'name': 'Skalata Ventures', 'link': 'https://au.linkedin.com/company/skalata-ventures', 'industry': 'Venture Capital and Private Equity Principals', 'location': 'Docklands, Vic'}, {'name': 'anon.', 'link': 'https://au.linkedin.com/company/anon-', 'industry': 'Performing Arts', 'location': None}, {'name': 'Airwallex', 'link': 'https://au.linkedin.com/company/airwallex', 'industry': 'Financial Services', 'location': 'Melbourne, VIC'}, {'name': 'Gather', 'link': 'https://www.linkedin.com/company/gathertown', 'industry': 'Internet Publishing', 'location': None}, {'name': 'ClassicalPixel', 'link': 'https://www.linkedin.com/company/classicalpixel', 'industry': 'Design Services', 'location': None}, {'name': 'The Australian', 'link': 'https://au.linkedin.com/company/the-australian', 'industry': 'Newspaper Publishing', 'location': 'Sydney, NSW'}, {'name': 'Startmate', 'link': 'https://au.linkedin.com/company/startmate', 'industry': 'Financial Services', 'location': None}, {'name': 'preezie', 'link': 'https://au.linkedin.com/company/preezie', 'industry': 'Internet Publishing', 'location': None}, {'name': 'hims & hers', 'link': 'https://www.linkedin.com/company/hims-&-hers', 'industry': 'Wellness and Fitness Services', 'location': 'San Francisco, California'}, {'name': 'Forage', 'link': 'https://www.linkedin.com/school/theforage/', 'industry': 'E-Learning Providers', 'location': 'San Francisco, California'}]",
1322,Brieff,https://au.linkedin.com/company/brieff-io,", Sydney, NSW, Australia",2000,,2022.0,"Brieff is a VC-backed SaaS company that brings structure and innovation to advisory, giving accountants more time with more clients. Using Brieff, accountants can now deliver tailored and value-adding advisory at scale.",2-10,http://www.brieff.io,accountech,Software Development,"[{'name': 'Antler', 'link': 'https://sg.linkedin.com/company/antlerglobal', 'industry': 'Venture Capital and Private Equity Principals', 'location': None}, {'name': 'Buttress', 'link': 'https://au.linkedin.com/company/buttress', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'Notud', 'link': 'https://au.linkedin.com/company/notudapp', 'industry': 'Software Development', 'location': 'Geelong, VIC'}, {'name': 'PimSpace', 'link': 'https://www.linkedin.com/company/pimspace', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'wellbase.io', 'link': 'https://au.linkedin.com/company/well-base', 'industry': 'Consumer Services', 'location': 'Nelson Bay, New South Wales'}, {'name': 'bit.leave', 'link': 'https://au.linkedin.com/company/bit-leave', 'industry': 'Human Resources Services', 'location': 'Sydney, NSW'}, {'name': 'Fixate AI', 'link': 'https://au.linkedin.com/company/fixate-ai', 'industry': 'Advertising Services', 'location': 'Sydney, New South Wales'}, {'name': 'Quantflo', 'link': 'https://au.linkedin.com/company/quantflo', 'industry': 'Financial Services', 'location': None}, {'name': 'Energesse', 'link': 'https://au.linkedin.com/company/energesse', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Content Snare', 'link': 'https://au.linkedin.com/company/content-snare', 'industry': 'Technology, Information and Internet', 'location': 'Brisbane, Queensland'}]",
1328,PaidRight,https://au.linkedin.com/company/paidright,"320 Pitt St Level 6, Sydney, New South Wales, Australia",,,2020.0,"PaidRight is a fast-growing, independent employee pay compliance platform that provides businesses with the ability to monitor variances in their payroll by delivering actionable insights and visibility into their own payroll systems and processes. 

PaidRight can operate from 100 - 500,000+ employees, so businesses see the whole picture, not just part of it. Every shift, every employee, every legal agreement. 

Through PaidRight’s custom pay models, businesses are now able to assess their overall employee pay compliance position by analysing their payroll data, against their own interpretation of the relevant award(s) or enterprise agreement(s). 

PaidRight was initially established as a collaborative venture between PwC Australia and Data 61 (CSIRO) to help solve the uncertainty around payroll compliance caused by the complex industrial relations landscape, the challenges with setting up and maintaining multiple payroll systems and dealing with thousands of employees. 

Businesses now have the ability to identify the root cause of employee pay variance, giving them the tools to be able to prove and improve their payroll compliance. 

To book a demo visit: www.paidright.io",11-50,https://www.paidright.io/,,Software Development,"[{'name': 'Yellow Canary', 'link': 'https://au.linkedin.com/company/yellowcanary-au', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Wrkr', 'link': 'https://au.linkedin.com/company/wrkrplatform', 'industry': 'Software Development', 'location': None}, {'name': 'Slyp', 'link': 'https://au.linkedin.com/company/slypreceipts', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Startmate', 'link': 'https://au.linkedin.com/company/startmate', 'industry': 'Financial Services', 'location': None}, {'name': 'Sonder', 'link': 'https://au.linkedin.com/company/sondersafe', 'industry': 'Government Administration', 'location': 'Waterloo, New South Wales'}, {'name': 'Australia-Vietnam Leadership Dialogue', 'link': 'https://au.linkedin.com/company/ausviet', 'industry': 'Non-profit Organizations', 'location': 'Sydney, NSW'}, {'name': ':Different', 'link': 'https://au.linkedin.com/company/different', 'industry': 'Real Estate', 'location': 'Sydney, NSW'}, {'name': 'Payright', 'link': 'https://au.linkedin.com/company/payrightaustralia', 'industry': 'Financial Services', 'location': 'Hawthorn East, Victoria'}, {'name': 'Carma', 'link': 'https://au.linkedin.com/company/carma-au', 'industry': 'Software Development', 'location': 'Alexandria, NSW'}, {'name': 'Assembler', 'link': 'https://au.linkedin.com/company/assemblerapp', 'industry': 'Software Development', 'location': 'Melbourne, VIC'}]",
1329,SafetyCulture,https://au.linkedin.com/company/safetyculturehq,"72 Foveaux St, Surry Hills, New South Wales, Australia",2010,,2004.0,"SafetyCulture is a global technology company that puts the power of continuous improvement into everyone's hands. Our operations platform unlocks the power of observation at scale, giving leaders visibility and workers a voice in driving quality, efficiency, and safety improvements.

More than 60,000 customers use our operations platform to perform checks, train staff, report issues, and automate tasks. In doing so, we drive processes that help businesses get better every day.

Recent analysis by Forrester found that our flagship products provide a 214% return on investment for customers, and USD $3.6M in cost savings from operational improvements.

From top Australian ASX-listed grocer and retailer Coles and American aviation giant JetBlue, to Europe’s largest hospitality multi-national Accor, our operations platform is helping teams in every industry.",201-500,http://www.safetyculture.com,"['App Development', 'UI/UX Design', 'Software Engineers', 'Platform Development', 'iOS Development', 'Android/Google Glass Devs', 'DevOps Engineer', 'Safety Apps', 'Inspection App', 'Software', 'Customer Success']",Software Development,"[{'name': 'Safety Culture', 'link': 'https://ca.linkedin.com/company/safety-culture-hseq-consultants', 'industry': 'Business Consulting and Services', 'location': 'Calgary, Alberta'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'EdApp', 'link': 'https://www.linkedin.com/company/edapp-micro-learning', 'industry': 'Software Development', 'location': 'New York, New York'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Culture Amp', 'link': 'https://au.linkedin.com/company/cultureamp', 'industry': 'Software Development', 'location': 'Richmond, Victoria'}, {'name': 'Dovetail', 'link': 'https://au.linkedin.com/company/heydovetail', 'industry': 'Software Development', 'location': None}, {'name': 'Eucalyptus', 'link': 'https://au.linkedin.com/company/eucalyptusvc', 'industry': 'Technology, Information and Internet', 'location': 'Sydney, New South Wales'}, {'name': 'Deputy', 'link': 'https://au.linkedin.com/company/deputyapp', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'Immutable', 'link': 'https://au.linkedin.com/company/immutable-1', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'Linktree', 'link': 'https://au.linkedin.com/company/linktree', 'industry': 'Software Development', 'location': 'Melbourne, Victoria'}]",
1331,Kinde,https://au.linkedin.com/company/heykinde,", Sydney, , Australia",,,2021.0,"Say hello to a new era of authentication. Simple, powerful authentication you can integrate with your product in minutes.",11-50,https://kinde.com,,Software Development,"[{'name': 'Dovetail', 'link': 'https://au.linkedin.com/company/heydovetail', 'industry': 'Software Development', 'location': None}, {'name': 'Blackbird', 'link': 'https://au.linkedin.com/company/blackbirdvc', 'industry': 'Financial Services', 'location': 'Surry Hills, New South Wales'}, {'name': 'Eucalyptus', 'link': 'https://au.linkedin.com/company/eucalyptusvc', 'industry': 'Technology, Information and Internet', 'location': 'Sydney, New South Wales'}, {'name': 'Vexev', 'link': 'https://au.linkedin.com/company/vexevvascular', 'industry': 'Medical Equipment Manufacturing', 'location': None}, {'name': 'Blinq', 'link': 'https://au.linkedin.com/company/blinq-me', 'industry': 'Software Development', 'location': 'Melbourne, Victoria'}, {'name': 'Startmate', 'link': 'https://au.linkedin.com/company/startmate', 'industry': 'Financial Services', 'location': None}, {'name': 'Immutable', 'link': 'https://au.linkedin.com/company/immutable-1', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'Culture Amp', 'link': 'https://au.linkedin.com/company/cultureamp', 'industry': 'Software Development', 'location': 'Richmond, Victoria'}, {'name': 'Felicis', 'link': 'https://www.linkedin.com/company/felicis-ventures', 'industry': 'Venture Capital and Private Equity Principals', 'location': 'Menlo Park, California'}, {'name': 'The Sachin and Adam Show', 'link': 'https://au.linkedin.com/company/the-sachin-and-adam-show', 'industry': 'Online Audio and Video Media', 'location': 'Sydney, NSW'}]",
1333,Wellcome ,https://au.linkedin.com/company/wellcome-app,", Sydney, , Australia",,,2020.0,"Wellcome is an all-in-one workplace management platform that allows employees to schedule their in-office days and check-in on arrival. Wellcome gives you the tools to control office capacity, screen visitors and contract trace.",2-10,https://www.wellcome.me,"['Smart Office', 'Visitor Experience', 'Visitor Registration', 'Reception', 'Office Management', 'Visitor Management', 'Employee Check-in', 'Capacity Planning', 'Digital Receptionist', 'Visitor Log', 'Contact Tracing', 'Reception Software', 'Electronic Sign in', 'Visitor Check In', 'SaaS', 'Free Trial', 'Automation', 'Slack Notifications', 'Excellent Customer Support', 'Worktech', 'Reopen Office', 'Capacity Reports', 'Office Technology', 'Smart Technology', 'Contractor Registration Software', 'Staff Sign In', 'Visitor Kiosk', 'work space', 'desk booking', 'space booking', 'health screen']",Internet,[],
0,First Focus IT,https://au.linkedin.com/company/first-focus-it,"Level 2, 4A Lord St , Botany, New South Wales, Australia",2019,,2003.0,"First Focus is Australia’s best Managed Service Provider for medium-sized organisations. With tens of thousands of end-users supported across hundreds of customers, First Focus has the experience and capability to deliver comprehensive managed services, support, and technology to your organisation. We employ Australia’s best technical, customer service and account management people, and we’re constantly investing in world-class technology to ensure our solutions are the most reliable, cost-effective, and efficient available.Our philosophy is to deliver our clients smart, flexible and value-driven IT solutions, by combining our enterprise quality infrastructure and processes, with personalised service and responsiveness. We promise you the Best People, Expert Advice, Fast Response and Zero Risk when you partner with us. That's how we help people use technology to make a difference. ",201-500,https://www.firstfocus.com.au,"['Information Technology Solutions', 'Managed Service Provider', 'IT Outsourcing', 'IT Support', 'Cloud Services', 'IT Consulting', 'Private Cloud', 'IT Strategy']",Information Technology & Services,"[{'name': 'IA Design', 'link': 'https://au.linkedin.com/company/ia-group', 'industry': 'Architecture and Planning', 'location': 'Sydney, NSW'}, {'name': 'TheBeanCounters', 'link': 'https://au.linkedin.com/company/thebeancounters', 'industry': 'Accounting', 'location': 'Sydney, New South Wales'}, {'name': 'Wavelength International', 'link': 'https://au.linkedin.com/company/wavelengthinternational', 'industry': 'Staffing and Recruiting', 'location': 'Surry Hills, NSW'}, {'name': 'Brennan IT', 'link': 'https://au.linkedin.com/company/brennanit', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Rothsay Chartered Accountants', 'link': 'https://au.linkedin.com/company/rothsay-chartered-accountants', 'industry': 'Accounting', 'location': 'Sydney, NSW'}, {'name': 'Interactive', 'link': 'https://au.linkedin.com/company/interactive', 'industry': 'IT Services and IT Consulting', 'location': 'Port Melbourne, VIC'}, {'name': 'AGL Australia', 'link': 'https://au.linkedin.com/company/agl', 'industry': 'Utilities', 'location': 'Sydney, NSW'}, {'name': 'FPA Patent Attorneys', 'link': 'https://au.linkedin.com/company/fpa-patent-attorneys', 'industry': 'Legal Services', 'location': 'Melbourne, Victoria'}, {'name': 'blueAPACHE', 'link': 'https://au.linkedin.com/company/blueapache', 'industry': 'IT Services and IT Consulting', 'location': 'Abbotsford, VIC'}, {'name': 'Datacom', 'link': 'https://nz.linkedin.com/company/datacom', 'industry': 'IT Services and IT Consulting', 'location': 'Auckland, Auckland'}]",
4,Compass Education,https://au.linkedin.com/company/compasseducation,"36-38 Burwood Rd, Hawthorn, Victoria, Australia",3122,,2009.0,"Compass Education is an information technology company with offices in Victoria, New South Wales, Brisbane and Dublin. Our core software product, Compass, is used by millions of students, staff, parents, and alumni.",201-500,http://www.compass.education,,Computer Software,"[{'name': 'Compass Education UK & IE', 'link': 'https://www.linkedin.com/company/compass-mis', 'industry': 'Computer Software', 'location': None}]",
8,QBurst,https://www.linkedin.com/company/qburst,"126 Marsden St, Parramatta, New South Wales, Australia",2150,,2004.0,QBurst is a full-service software solutions provider that works with clients to maximize the effectiveness of their business through the adoption of digital technology.,1001-5000,https://www.qburst.com,,IT Services and IT Consulting,"[{'name': 'Fingent', 'link': 'https://www.linkedin.com/company/fingent-technologies', 'industry': 'IT Services and IT Consulting', 'location': 'New York, New York'}, {'name': 'UST', 'link': 'https://www.linkedin.com/company/ustglobal', 'industry': 'IT Services and IT Consulting', 'location': 'Aliso Viejo, CA'}, {'name': 'Experion Technologies', 'link': 'https://in.linkedin.com/company/experion-technologies', 'industry': 'IT Services and IT Consulting', 'location': 'Trivandrum, Kerala'}, {'name': 'ThinkPalm Technologies Pvt. Ltd.', 'link': 'https://in.linkedin.com/company/thinkpalm-technologies-pvt-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Kochi, Kerala'}, {'name': 'IBS Software', 'link': 'https://sg.linkedin.com/company/ibssoftware', 'industry': 'Software Development', 'location': None}, {'name': 'KeyValue Software Systems', 'link': 'https://in.linkedin.com/company/keyvaluesystems', 'industry': 'Software Development', 'location': 'Ernakulam, Kerala'}, {'name': 'Accubits Technologies Inc', 'link': 'https://www.linkedin.com/company/accubits', 'industry': 'IT Services and IT Consulting', 'location': 'Vienna, Virginia'}, {'name': 'Tata Consultancy Services', 'link': 'https://in.linkedin.com/company/tata-consultancy-services', 'industry': 'IT Services and IT Consulting', 'location': 'Mumbai, Maharashtra'}, {'name': 'PIT Solutions', 'link': 'https://ch.linkedin.com/company/pit-solutions', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Quest Global', 'link': 'https://sg.linkedin.com/company/quest-global', 'industry': 'IT Services and IT Consulting', 'location': None}]",
17,"Women in AR/VR, Australia",https://au.linkedin.com/company/women-in-arvr-australia,", Sydney, NSW, Australia",2000,,2016.0,"We are Australia's first group for Women in AR/VR. Our aim is to inspire by providing leadership by example, celebrating women’s achievements and contributing to the growth in our expanding community. While the AR/VR community in Australia is still relatively small in a global context, it is certainly growing rapidly, however there still aren't many women in Australia, actively leading or developing (yet!). By providing the right tools, support, leadership and awareness, we aim to give women the chance to be key decision-makers and best-in-class in their fields. With this exciting industry predicted to be worth $120bn by 2020, there is no better time for the women of Australia to consider a career, start a business, or even take a leadership role in their current workplace.Please feel free to join our Meetup group, Women in AR/VR, to attend events aimed at helping women make valuable connections, get support, contribute to the community, and if you are new to the arena, experience AR/VR/MR for the first time.Co-founders - Amber Cordeaux (Humense), Carli Johnston (Virtual Method)",2-10,http://coming,"['Augmented Reality', 'Virtual Reality', 'Spacial Design', '360 Content', 'Emerging Technologies', 'Spacial Sound']",Information Technology & Services,[],
